dataset,category,ratio_name,ratio_value,status,qps_num,recall_num,time_num_ms,qps_den,recall_den,time_den_ms
Tiktok,Small p_pass,SmartRoute+/UNG,41.9456,OK (Recall>=0.9),182077.6148,0.9400,164.7649,4340.8053,0.9300,6911.1600
Tiktok,Small p_pass,UNG+/UNG,2.5111,OK (Recall>=0.9),10900.1995,0.9200,2752.2432,4340.8053,0.9300,6911.1600
Tiktok,Small p_pass,SmartRoute+/UNG+,16.7041,OK (Recall>=0.9),182077.6148,0.9400,164.7649,10900.1995,0.9200,2752.2432
Tiktok,Small p_pass,SmartRoute+/SmartRoute,5.8328,OK (Recall>=0.9),182077.6148,0.9400,164.7649,31216.3806,0.9000,961.0339
Tiktok,Small p_pass,SmartRoute/UNG+,2.8638,OK (Recall>=0.9),31216.3806,0.9000,961.0339,10900.1995,0.9200,2752.2432
Tiktok,Large p_pass,SmartRoute+/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",27360.2802,0.9000,1096.4800,,,
Tiktok,Large p_pass,SmartRoute+/NaviX,inf,"Infinity (Num>=0.9, Den Failed)",27360.2802,0.9000,1096.4800,,,
Tiktok,Large p_pass,SmartRoute+/pre-filtering,25.2294,OK (Recall>=0.9),27360.2802,0.9000,1096.4800,1084.4615,1.0000,27663.5000
Tiktok,Large p_pass,SmartRoute+/Milvus-HNSW,59.2019,OK (Recall>=0.9),27360.2802,0.9000,1096.4800,462.1521,0.9400,64913.7000
Tiktok,Large p_pass,SmartRoute+/Milvus-IVF,314.4444,OK (Recall>=0.9),27360.2802,0.9000,1096.4800,87.0115,0.9150,344782.0000
Tiktok,Large p_pass,SmartRoute+/UNG,20.3725,OK (Recall>=0.9),27360.2802,0.9000,1096.4800,1343.0030,0.9052,22338.0000
Tiktok,Large p_pass,UNG+/UNG,2.0985,OK (Recall>=0.9),2818.2934,0.9402,10644.7400,1343.0030,0.9052,22338.0000
Tiktok,Large p_pass,SmartRoute+/UNG+,9.7081,OK (Recall>=0.9),27360.2802,0.9000,1096.4800,2818.2934,0.9402,10644.7400
Tiktok,Large p_pass,SmartRoute+/SmartRoute,1.6667,OK (Recall>=0.9),27360.2802,0.9000,1096.4800,16416.0483,0.9000,1827.4800
Tiktok,Large p_pass,SmartRoute/UNG+,5.8248,OK (Recall>=0.9),16416.0483,0.9000,1827.4800,2818.2934,0.9402,10644.7400
Tiktok,th=10,SmartRoute+/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",8268.2211,0.9720,7256.7000,,,
Tiktok,th=10,SmartRoute+/NaviX,inf,"Infinity (Num>=0.9, Den Failed)",8268.2211,0.9720,7256.7000,,,
Tiktok,th=10,SmartRoute+/pre-filtering,16.0106,OK (Recall>=0.9),8268.2211,0.9720,7256.7000,516.4222,1.0000,116184.0000
Tiktok,th=10,SmartRoute+/Milvus-HNSW,26.9270,OK (Recall>=0.9),8268.2211,0.9720,7256.7000,307.0609,1.0000,195401.0000
Tiktok,th=10,SmartRoute+/Milvus-IVF,59.3843,OK (Recall>=0.9),8268.2211,0.9720,7256.7000,139.2325,1.0000,430934.0000
Tiktok,th=10,SmartRoute+/UNG,18.3384,OK (Recall>=0.9),8268.2211,0.9720,7256.7000,450.8702,0.9177,133076.0000
Tiktok,th=10,UNG+/UNG,4.0850,OK (Recall>=0.9),1841.8241,0.9310,32576.4000,450.8702,0.9177,133076.0000
Tiktok,th=10,SmartRoute+/UNG+,4.4891,OK (Recall>=0.9),8268.2211,0.9720,7256.7000,1841.8241,0.9310,32576.4000
Tiktok,th=10,SmartRoute+/SmartRoute,1.2974,OK (Recall>=0.9),8268.2211,0.9720,7256.7000,6372.8838,0.9720,9414.8900
Tiktok,th=10,SmartRoute/UNG+,3.4601,OK (Recall>=0.9),6372.8838,0.9720,9414.8900,1841.8241,0.9310,32576.4000
Tiktok,K=20,SmartRoute+/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",32111.6630,0.9740,1868.4800,,,
Tiktok,K=20,SmartRoute+/NaviX,inf,"Infinity (Num>=0.9, Den Failed)",32111.6630,0.9740,1868.4800,,,
Tiktok,K=20,SmartRoute+/pre-filtering,21.8700,OK (Recall>=0.9),32111.6630,0.9740,1868.4800,1468.2958,1.0000,40863.7000
Tiktok,K=20,SmartRoute+/Milvus-HNSW,101.1491,OK (Recall>=0.9),32111.6630,0.9740,1868.4800,317.4687,0.9900,188995.0000
Tiktok,K=20,SmartRoute+/Milvus-IVF,222.8367,OK (Recall>=0.9),32111.6630,0.9740,1868.4800,144.1040,1.0000,416366.0000
Tiktok,K=20,SmartRoute+/UNG,12.9536,OK (Recall>=0.9),32111.6630,0.9740,1868.4800,2478.9701,0.9251,24203.6000
Tiktok,K=20,UNG+/UNG,2.9202,OK (Recall>=0.9),7238.9892,0.9372,8288.4500,2478.9701,0.9251,24203.6000
Tiktok,K=20,SmartRoute+/UNG+,4.4359,OK (Recall>=0.9),32111.6630,0.9740,1868.4800,7238.9892,0.9372,8288.4500
Tiktok,K=20,SmartRoute+/SmartRoute,2.4324,OK (Recall>=0.9),32111.6630,0.9740,1868.4800,13201.8648,0.9740,4544.8125
Tiktok,K=20,SmartRoute/UNG+,1.8237,OK (Recall>=0.9),13201.8648,0.9740,4544.8125,7238.9892,0.9372,8288.4500
Laion,Mixed,SmartRoute+/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",7579.4899,0.9028,7916.1000,,,
Laion,Mixed,SmartRoute+/NaviX,inf,"Infinity (Num>=0.9, Den Failed)",7579.4899,0.9028,7916.1000,,,
Laion,Mixed,SmartRoute+/pre-filtering,12.2422,OK (Recall>=0.9),7579.4899,0.9028,7916.1000,619.1286,1.0000,96910.4000
Laion,Mixed,SmartRoute+/Milvus-HNSW,189.9875,OK (Recall>=0.9),7579.4899,0.9028,7916.1000,39.8947,0.9200,1503960.0000
Laion,Mixed,SmartRoute+/Milvus-IVF,173.9771,OK (Recall>=0.9),7579.4899,0.9028,7916.1000,43.5660,0.9140,1377220.0000
Laion,Mixed,SmartRoute+/UNG,10.4360,OK (Recall>=0.9),7579.4899,0.9028,7916.1000,726.2859,0.9156,82612.1000
Laion,Mixed,UNG+/UNG,2.7318,OK (Recall>=0.9),1984.0384,0.9164,30241.3500,726.2859,0.9156,82612.1000
Laion,Mixed,SmartRoute+/UNG+,3.8202,OK (Recall>=0.9),7579.4899,0.9028,7916.1000,1984.0384,0.9164,30241.3500
Laion,Mixed,SmartRoute+/SmartRoute,1.8311,OK (Recall>=0.9),7579.4899,0.9028,7916.1000,4139.3298,0.9026,14495.1000
Laion,Mixed,SmartRoute/UNG+,2.0863,OK (Recall>=0.9),4139.3298,0.9026,14495.1000,1984.0384,0.9164,30241.3500
Laion,Small Length,SmartRoute+/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",2661.4620,0.9035,11272.0000,,,
Laion,Small Length,SmartRoute+/NaviX,inf,"Infinity (Num>=0.9, Den Failed)",2661.4620,0.9035,11272.0000,,,
Laion,Small Length,SmartRoute+/pre-filtering,5.8902,OK (Recall>=0.9),2661.4620,0.9035,11272.0000,451.8467,1.0000,66394.2000
Laion,Small Length,SmartRoute+/Milvus-HNSW,99.4118,OK (Recall>=0.9),2661.4620,0.9035,11272.0000,26.7721,0.9000,1120570.0000
Laion,Small Length,SmartRoute+/Milvus-IVF,59.5768,OK (Recall>=0.9),2661.4620,0.9035,11272.0000,44.6728,0.9140,671550.0000
Laion,Small Length,SmartRoute+/UNG,7.6234,OK (Recall>=0.9),2661.4620,0.9035,11272.0000,349.1193,0.9027,85930.5000
Laion,Small Length,UNG+/UNG,2.4001,OK (Recall>=0.9),837.9367,0.9114,35802.2250,349.1193,0.9027,85930.5000
Laion,Small Length,SmartRoute+/UNG+,3.1762,OK (Recall>=0.9),2661.4620,0.9035,11272.0000,837.9367,0.9114,35802.2250
Laion,Small Length,SmartRoute+/SmartRoute,1.3548,OK (Recall>=0.9),2661.4620,0.9035,11272.0000,1964.4436,0.9037,15271.5000
Laion,Small Length,SmartRoute/UNG+,2.3444,OK (Recall>=0.9),1964.4436,0.9037,15271.5000,837.9367,0.9114,35802.2250
Laion,Large Length,SmartRoute+/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",70622.7657,0.9430,424.7922,,,
Laion,Large Length,SmartRoute+/NaviX,inf,"Infinity (Num>=0.9, Den Failed)",70622.7657,0.9430,424.7922,,,
Laion,Large Length,SmartRoute+/pre-filtering,71.6217,OK (Recall>=0.9),70622.7657,0.9430,424.7922,986.0533,1.0000,30424.3200
Laion,Large Length,SmartRoute+/Milvus-HNSW,1026.2547,OK (Recall>=0.9),70622.7657,0.9430,424.7922,68.8160,0.9200,435945.0000
Laion,Large Length,SmartRoute+/Milvus-IVF,687.1336,OK (Recall>=0.9),70622.7657,0.9430,424.7922,102.7788,0.9150,291889.0000
Laion,Large Length,SmartRoute+/UNG,7.1908,OK (Recall>=0.9),70622.7657,0.9430,424.7922,9821.2146,0.9000,3054.6120
Laion,Large Length,UNG+/UNG,2.2625,OK (Recall>=0.9),22220.8593,0.9000,1350.0828,9821.2146,0.9000,3054.6120
Laion,Large Length,SmartRoute+/UNG+,3.1782,OK (Recall>=0.9),70622.7657,0.9430,424.7922,22220.8593,0.9000,1350.0828
Laion,Large Length,SmartRoute+/SmartRoute,1.9717,OK (Recall>=0.9),70622.7657,0.9430,424.7922,35818.9282,0.9431,837.5460
Laion,Large Length,SmartRoute/UNG+,1.6120,OK (Recall>=0.9),35818.9282,0.9431,837.5460,22220.8593,0.9000,1350.0828
Laion,Small p_pass,SmartRoute+/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",35592.3818,0.9629,842.8770,,,
Laion,Small p_pass,SmartRoute+/NaviX,inf,"Infinity (Num>=0.9, Den Failed)",35592.3818,0.9629,842.8770,,,
Laion,Small p_pass,SmartRoute+/pre-filtering,19.4766,OK (Recall>=0.9),35592.3818,0.9629,842.8770,1827.4409,1.0000,16416.4000
Laion,Small p_pass,SmartRoute+/Milvus-HNSW,516.4016,OK (Recall>=0.9),35592.3818,0.9629,842.8770,68.9238,0.9000,435263.0000
Laion,Small p_pass,SmartRoute+/Milvus-IVF,214.5438,OK (Recall>=0.9),35592.3818,0.9629,842.8770,165.8980,0.9110,180834.0000
Laion,Small p_pass,SmartRoute+/UNG,7.1730,OK (Recall>=0.9),35592.3818,0.9629,842.8770,4961.9673,0.9000,6045.9890
Laion,Small p_pass,UNG+/UNG,1.9754,OK (Recall>=0.9),9801.9138,0.9000,3060.6268,4961.9673,0.9000,6045.9890
Laion,Small p_pass,SmartRoute+/UNG+,3.6312,OK (Recall>=0.9),35592.3818,0.9629,842.8770,9801.9138,0.9000,3060.6268
Laion,Small p_pass,SmartRoute+/SmartRoute,1.3653,OK (Recall>=0.9),35592.3818,0.9629,842.8770,26069.5013,0.9628,1150.7700
Laion,Small p_pass,SmartRoute/UNG+,2.6596,OK (Recall>=0.9),26069.5013,0.9628,1150.7700,9801.9138,0.9000,3060.6268
Laion,Large p_pass,SmartRoute+/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",5367.6971,0.9228,5588.9890,,,
Laion,Large p_pass,SmartRoute+/NaviX,inf,"Infinity (Num>=0.9, Den Failed)",5367.6971,0.9228,5588.9890,,,
Laion,Large p_pass,SmartRoute+/pre-filtering,5.8352,OK (Recall>=0.9),5367.6971,0.9228,5588.9890,919.8814,1.0000,32612.9000
Laion,Large p_pass,SmartRoute+/Milvus-HNSW,204.3876,OK (Recall>=0.9),5367.6971,0.9228,5588.9890,26.2623,0.9000,1142320.0000
Laion,Large p_pass,SmartRoute+/Milvus-IVF,141.1370,OK (Recall>=0.9),5367.6971,0.9228,5588.9890,38.0318,0.9220,788813.0000
Laion,Large p_pass,SmartRoute+/UNG,14.9413,OK (Recall>=0.9),5367.6971,0.9228,5588.9890,359.2522,0.9097,83506.8000
Laion,Large p_pass,UNG+/UNG,5.1385,OK (Recall>=0.9),1846.0289,0.9057,16251.1000,359.2522,0.9097,83506.8000
Laion,Large p_pass,SmartRoute+/UNG+,2.9077,OK (Recall>=0.9),5367.6971,0.9228,5588.9890,1846.0289,0.9057,16251.1000
Laion,Large p_pass,SmartRoute+/SmartRoute,1.7874,OK (Recall>=0.9),5367.6971,0.9228,5588.9890,3003.0932,0.9227,9989.7000
Laion,Large p_pass,SmartRoute/UNG+,1.6268,OK (Recall>=0.9),3003.0932,0.9227,9989.7000,1846.0289,0.9057,16251.1000
Laion,th=10,SmartRoute+/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1291.8027,0.9148,46446.7200,,,
Laion,th=10,SmartRoute+/NaviX,inf,"Infinity (Num>=0.9, Den Failed)",1291.8027,0.9148,46446.7200,,,
Laion,th=10,SmartRoute+/pre-filtering,5.7766,OK (Recall>=0.9),1291.8027,0.9148,46446.7200,223.6253,1.0000,268306.0000
Laion,th=10,SmartRoute+/Milvus-HNSW,33.4570,OK (Recall>=0.9),1291.8027,0.9148,46446.7200,38.6108,1.0000,1553970.0000
Laion,th=10,SmartRoute+/Milvus-IVF,inf,"Infinity (Num>=0.9, Den Failed)",1291.8027,0.9148,46446.7200,,,
Laion,th=10,SmartRoute+/UNG,9.0571,OK (Recall>=0.9),1291.8027,0.9148,46446.7200,142.6286,0.9080,420673.0000
Laion,th=10,UNG+/UNG,5.3260,OK (Recall>=0.9),759.6408,0.9609,78984.7000,142.6286,0.9080,420673.0000
